X Y
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
332.2978 79.04722 
331.1046 78.99426 
328.8779 78.13268 
326.3469 77.18077 
324.1203 76.3474 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
331.3698 75.55013 
329.8165 76.98859 
331.1725 80.46591 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
358.8512 83.45586 
355.6854 81.21894 
357.0386 80.26945 
357.9159 79.50443 
360.2307 79.22589 
361.1208 78.75441 
362.8376 78.11085 
368.027 76.94037 
370.8557 74.70624 
369.6423 72.09605 
376.9178 71.34568 
379.0948 69.58623 
NaN NaN 
373.4297 64.40192 
376.1998 63.92123 
373.2931 61.22766 
NaN NaN 
379.18 59.37416 
377.0176 59.42273 
383.903 61.79717 
382.9243 62.31686 
381.2011 63.55724 
380.0043 66.32703 
376.3647 67.50463 
375.6127 70.34017 
381.5355 78.19362 
380.6375 80.73466 
381.6995 84.18032 
381.0029 87.65567 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
410.5449 98.09351 
415.9206 100.9168 
421.4052 102.5487 
428.1727 107.295 
432.2814 113.8869 
434.8232 120.228 
437.3996 127.4611 
439.2779 135.0179 
439.0976 142.988 
440.0621 150.1347 
441.9117 158.6185 
444.3449 168.7437 
446.8897 175.9808 
448.8543 182.3081 
449.4486 188.5188 
449.6502 194.9156 
449.7453 201.4535 
449.2101 208.5677 
448.7411 215.3592 
448.4965 221.4893 
448.3116 228.3517 
448.829 236.2805 
449.9964 243.185 
450.1647 249.8015 
449.2873 256.9168 
447.4859 270.7732 
445.9076 277.6669 
444.6706 284.3819 
443.9991 289.7388 
442.8294 294.4601 
440.6252 298.5989 
437.6721 301.6759 
434.5363 305.2142 
430.1829 309.1032 
424.8427 311.9721 
419.03 313.7239 
413.4063 315.837 
407.3307 317.9975 
400.7229 319.2351 
394.7198 320.9712 
388.8003 323.8624 
381.7827 326.0422 
374.5357 328.3882 
367.3845 330.7138 
360.1059 333.051 
353.0113 334.2603 
346.2849 334.5411 
339.7858 334.8712 
333.2818 335.4437 
326.2775 335.8933 
319.9358 336.122 
313.7061 336.6978 
307.3573 338.2974 
301.2204 339.3723 
295.6718 339.2028 
290.2838 339.4785 
284.92 339.9199 
279.8114 339.47 
275.3521 339.1009 
271.1626 340.0897 
267.8679 340.8416 
264.9715 340.5254 
262.6912 340.7415 
260.5609 341.6609 
258.3336 341.4906 
256.5258 340.802 
255.3414 340.4885 
253.9634 341.0977 
253.1042 338.3811 
250.1255 335.444 
247.406 335.5694 
246.473 334.1141 
244.409 336.4114 
242.3638 337.9102 
241.81 337.842 
242.5905 337.5894 
242.8999 337.9854 
240.5027 339.4505 
241.6479 341.0558 
239.2035 341.5546 
238.5474 341.5466 
NaN NaN 
NaN NaN 
NaN NaN 
239.4891 344.7559 
239.4766 345.2569 
240.078 345.3183 
237.4684 345.4144 
237.298 348.9788 
237.8333 352.8686 
238.4021 354.6538 
239.0859 355.2032 
239.3006 355.0266 
239.3137 355.52 
239.3129 355.3622 
239.3556 351.5254 
238.7074 345.0363 
238.3543 340.2592 
237.8767 340.9587 
236.8869 343.4938 
235.6937 346.0079 
235.335 347.2603 
235.251 347.4554 
235.2715 347.2367 
235.191 347.1542 
235.0588 347.5294 
234.878 347.9246 
234.6126 348.1802 
234.0972 348.5626 
234.1086 346.3824 
232.3425 344.8352 
234.2227 344.5044 
237.9889 350.4242 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
239.9464 357.1669 
242.0105 355.4464 
238.3706 353.4828 
232.5786 348.2083 
234.9761 345.3839 
235.6344 344.9969 
236.2524 346.387 
236.6782 347.9705 
237.1061 349.838 
237.2328 350.8378 
237.7622 352.5827 
237.9743 353.8449 
237.75 354.6652 
237.6684 356.1504 
237.7159 356.9988 
237.3273 358.6158 
236.691 359.7854 
236.1675 360.143 
236.2714 360.8242 
236.5299 363.1514 
237.4317 365.9057 
238.2605 366.7169 
239.3993 367.1918 
240.8363 367.3147 
242.9831 368.0518 
246.338 369.5735 
250.4465 371.515 
255.3127 371.987 
259.9846 372.8275 
263.6901 373.2196 
267.9805 371.0539 
271.3132 369.1589 
275.0635 368.7062 
280.6797 369.7027 
286.1356 371.4026 
291.0578 372.8016 
295.7866 374.3047 
301.7327 376.7941 
307.1983 379.8779 
312.6782 382.1172 
317.6517 384.7779 
322.2352 386.6343 
326.1329 387.2484 
329.7649 387.9295 
333.5478 388.3645 
337.4658 387.8689 
341.4541 387.2606 
346.1932 386.6725 
351.4455 386.2591 
354.4718 382.6136 
357.1753 377.1258 
360.6693 371.6749 
363.6617 366.9432 
369.4482 364.7232 
376.0516 366.7022 
384.6465 369.2743 
394.9126 371.8128 
404.2613 371.5662 
411.8142 369.7659 
418.8416 365.2574 
426.4473 362.0143 
433.8435 362.2058 
440.9142 362.0975 
445.9272 356.7478 
447.6971 350.7414 
449.5958 346.9059 
452.8019 342.8052 
454.154 339.1386 
456.8262 333.9517 
459.7759 329.8908 
463.4043 325.1435 
467.5747 318.8627 
470.3906 312.7742 
474.8482 306.0573 
477.588 298.0049 
480.1523 291.5221 
484.2476 283.7979 
487.9652 275.8646 
490.32 268.2252 
491.648 256.9778 
489.7878 245.7718 
487.2185 234.0454 
486.3199 221.2594 
486.1772 208.71 
484.2308 197.6825 
482.6971 185.4379 
480.8396 172.9872 
476.3409 162.7824 
472.9715 151.7707 
470.9901 141.3076 
468.2264 132.2567 
465.3059 123.2727 
462.1031 116.2928 
458.1685 112.0867 
453.3365 109.2779 
448.0275 105.5168 
443.5047 103.9357 
439.5993 103.1007 
436.7274 102.832 
433.6554 102.8789 
431.1768 103.4574 
428.8755 104.7611 
426.8413 106.121 
425.3263 106.557 
424.5465 107.0796 
423.3837 107.6389 
423.0667 107.9195 
422.3585 107.1308 
420.1889 106.2502 
417.7072 104.8135 
414.455 102.4715 
409.7771 98.82727 
403.9934 94.66473 
397.6315 90.6565 
389.7802 87.52348 
381.2998 85.7282 
373.2067 84.9893 
364.9776 85.18916 
358.195 86.86143 
352.6499 88.13894 
346.9547 89.57134 
341.164 91.08793 
337.3359 92.10616 
334.5868 92.46215 
331.6176 93.3468 
328.1357 94.73611 
324.8571 94.87619 
321.0945 94.68219 
316.4993 94.54012 
311.8056 92.99778 
306.9708 90.77675 
300.7747 88.6673 
294.6738 86.23344 
289.4038 84.11343 
284.0154 82.8746 
278.1125 82.14392 
273.2871 81.48264 
269.0282 82.66759 
265.6848 86.86237 
261.8806 90.99963 
258.5356 91.66823 
255.0065 92.33829 
251.9667 94.71183 
250.5459 97.70592 
249.7835 99.31608 
243.302 100.9538 
240.5624 101.6426 
236.4606 102.89 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
NaN NaN 
