X Y
289.7261 268.2606 
288.9218 270.9177 
290.7554 273.4694 
293.206 277.3655 
294.2226 281.1905 
295.5632 285.08 
296.7303 288.0767 
297.394 291.5907 
297.6585 295.1375 
298.1653 298.1881 
299.0923 301.145 
300.6537 302.6751 
301.9811 304.2116 
302.3365 304.2758 
304.5926 304.6713 
306.1947 304.5999 
309.2347 304.6631 
311.516 304.7215 
313.5717 304.5171 
315.9441 304.101 
318.3137 304.3577 
320.6106 304.5702 
323.4646 304.4872 
326.095 304.3157 
329.1925 304.3973 
332.9711 304.2534 
336.3577 303.9828 
340.5169 303.7968 
345.6266 303.2665 
350.1278 302.7048 
356.2079 302.1709 
363.1114 301.5034 
369.1777 300.1328 
374.3323 298.2372 
379.6456 296.8985 
385.6853 296.0917 
390.6248 296.5679 
394.2976 298.0061 
397.7227 298.5494 
399.607 299.2499 
400.9354 300.1475 
400.9059 300.783 
400.4063 302.0879 
398.6228 303.2527 
396.9623 304.3941 
393.8867 306.0962 
392.6303 307.6352 
386.6044 308.5139 
385.1987 310.0891 
377.574 313.029 
371.0266 314.3134 
368.1287 315.2072 
362.2956 316.3302 
357.8623 317.7108 
353.6463 319.5739 
348.4655 321.1353 
344.7373 322.2766 
337.2286 323.3062 
333.9208 324.3255 
329.9197 325.4158 
326.3195 326.8558 
324.2669 327.9782 
321.3678 328.5187 
320.0285 329.4362 
319.2206 329.9925 
319.2899 329.9935 
319.2254 329.5035 
320.5534 328.7679 
322.1933 327.9846 
322.9905 326.6561 
324.783 325.6802 
328.0485 325.1299 
330.4535 324.4566 
333.7579 324.3129 
337.1662 324.1104 
340.1975 323.0909 
344.4992 323.2828 
347.4806 323.2258 
350.2503 323.6485 
351.0681 323.6994 
353.7332 324.089 
355.8367 324.6123 
357.5934 324.7049 
358.1313 324.6229 
360.1498 324.5364 
361.0464 324.4839 
360.0045 324.6883 
361.2143 324.3639 
362.681 323.9593 
362.5915 323.9352 
361.8132 323.8384 
359.82 324.0006 
356.9654 323.9326 
353.8292 323.987 
348.7508 324.7609 
346.1946 324.0841 
344.098 323.4351 
340.8818 322.679 
334.9004 321.0003 
326.7766 319.0721 
322.8784 317.0471 
318.11 316.2914 
314.1555 314.3105 
309.7846 310.7607 
294.1992 304.3687 
293.1786 297.4697 
291.4463 292.9459 
290.2033 288.1367 
285.0588 284.6313 
280.9869 283.3407 
277.1802 283.0205 
275.2695 283.687 
272.1931 285.0019 
269.6037 286.0425 
268.1522 286.1502 
269.3253 284.7934 
269.6628 281.5793 
269.6505 278.5898 
270.7408 274.999 
273.772 271.6332 
275.7562 267.0195 
278.1249 262.5209 
279.7973 257.4395 
283.4199 252.1331 
285.1737 248.2233 
289.1657 244.5945 
296.3861 240.7129 
303.9514 238.0847 
306.0406 242.4315 
315.8043 236.8069 
321.1304 237.8677 
324.8302 240.2794 
326.6747 243.1928 
322.6247 249.7617 
323.2245 252.7244 
325.1115 253.9215 
323.4964 256.7906 
322.2269 258.3141 
323.0281 258.262 
322.95 257.5659 
316.8471 260.222 
316.2082 258.5813 
306.0565 262.187 
305.4409 258.6402 
300.2909 257.6271 
295.5557 257.2346 
296.3087 249.2026 
290.8384 246.6536 
286.9605 243.3819 
278.598 242.6796 
281.2422 236.7026 
276.2017 234.0709 
274.1988 229.9828 
269.174 225.846 
265.9341 222.078 
264.4375 217.4146 
260.3689 214.5163 
257.6112 211.5403 
255.431 209.3563 
253.7726 207.2162 
252.2967 204.9094 
249.8447 202.8201 
248.2655 200.6112 
246.7324 197.4725 
245.28 194.5437 
243.6372 191.657 
241.7467 188.5995 
240.7394 185.1607 
239.6911 182.1929 
239.8571 179.0665 
241.1582 175.0034 
240.8611 171.6329 
238.9386 168.1908 
238.8458 163.9954 
237.2808 160.3434 
237.2537 156.59 
236.9598 153.3567 
235.4626 150.8946 
232.8126 149.5197 
230.6967 148.2997 
229.3738 146.8559 
227.8936 145.7433 
226.2469 144.8924 
224.6132 144.6582 
223.3041 144.027 
222.1305 144.0057 
220.4511 143.7385 
217.9178 142.9516 
216.0807 142.1152 
215.3601 142.655 
214.8219 142.6694 
213.0917 142.536 
212.1624 139.3365 
210.9082 136.5403 
208.8809 134.6232 
207.6818 132.7622 
206.9251 130.4078 
204.9308 128.97 
204.2194 126.2422 
203.7534 124.1291 
204.7625 121.9516 
205.0692 121.476 
205.3871 120.8721 
207.1929 119.0378 
208.6497 115.9976 
208.6065 115.0705 
209.0201 113.1986 
209.7051 111.1637 
210.6264 108.6913 
211.9644 107.219 
211.8934 106.4577 
212.8852 104.9904 
213.2518 104.5319 
213.6631 104.585 
216.6483 104.4354 
217.3508 104.3291 
219.0485 103.7448 
219.9992 103.8439 
222.2212 104.2985 
226.0123 104.6778 
229.8159 105.9676 
233.7022 106.5064 
237.8901 107.5054 
244.5023 107.6633 
252.7602 107.9791 
259.5058 110.2846 
264.3231 113.6003 
268.5636 118.5945 
276.1026 120.8378 
280.1853 123.9948 
284.126 126.9943 
289.8857 130.094 
295.8079 132.1432 
301.9571 134.0999 
307.998 135.6723 
313.2345 137.7025 
318.1295 139.4098 
323.4958 140.0764 
328.1416 140.8574 
332.3838 141.9865 
337.7479 142.618 
342.8645 143.2675 
347.9302 144.1565 
352.3492 144.5644 
356.7292 145.0251 
362.0576 144.8702 
365.8607 144.9495 
369.6658 145.1984 
374.1165 145.876 
377.4954 147.4296 
380.117 146.4343 
382.8251 147.5405 
385.4849 148.25 
387.0972 148.8306 
388.4002 148.8846 
390.2678 149.4389 
392.1924 150.2297 
393.0364 150.6964 
394.3827 150.8821 
395.9918 150.7701 
396.4286 150.9068 
396.9008 150.8647 
398.3627 151.5161 
398.163 151.1081 
398.0031 151.6755 
398.4477 153.6308 
399.7106 154.0462 
