"animal","X","Y","frameID","quadrant"
"blue",523.133,377.2265,261,2
"blue",522.26885,377.1487,262,2
"blue",521.5612,377.0092,263,2
"blue",520.8526,376.7872,264,2
"blue",520.0712,376.3527,265,2
"blue",519.29395,375.94535,266,2
"blue",518.63205,375.7182,267,2
"blue",518.17805,375.3633,268,2
"blue",517.94135,374.63095,269,2
"blue",517.90135,374.048,270,2
"blue",517.89505,373.8927,271,2
"blue",517.8722,373.77765,272,2
"blue",517.85045,373.70425,273,2
"blue",517.84005,373.6859,274,2
"blue",517.8001,373.64385,275,2
"blue",517.7674,373.59835,276,2
"blue",517.74175,373.57645,277,2
"blue",517.7095,373.558,278,2
"blue",517.6601,373.5371,279,2
"blue",517.5973,373.50765,280,2
"blue",517.57415,373.4757,281,2
"blue",517.57125,373.4434,282,2
"blue",517.57,373.3966,283,2
"blue",517.53675,373.3557,284,2
"blue",517.4991,373.34105,285,2
"blue",517.46975,373.31645,286,2
"blue",517.403,373.2805,287,2
"blue",517.33435,373.2467,288,2
"blue",517.2418,373.2304,289,2
"blue",517.0489,373.16445,290,2
"blue",516.8556,373.08235,291,2
"blue",516.66225,373.0248,292,2
"blue",516.4967,372.94105,293,2
"blue",516.4513,372.8941,294,2
"blue",516.22635,372.87665,295,2
"blue",515.8704,372.8375,296,2
"blue",515.3209,372.7515,297,2
"blue",514.68545,372.6459,298,2
"blue",513.66865,372.599,299,2
"blue",512.6707,372.49695,300,2
"blue",511.8054,372.3871,301,2
"blue",510.4046,372.1383,302,2
"blue",508.72565,371.05535,303,2
"blue",506.17895,368.9532,304,2
"blue",503.00065,367.9904,305,2
"blue",501.1446,367.9904,306,2
"blue",500.7539,367.9904,307,2
"blue",500.63295,367.8306,308,2
"blue",500.4617,367.65705,309,2
"blue",500.2878,367.58715,310,2
"blue",500.1256,367.4938,311,2
"blue",499.89135,367.4128,312,2
"blue",499.50545,367.36365,313,2
"blue",499.13795,367.36365,314,2
"blue",498.5887,367.36365,315,2
"blue",497.9229,367.36365,316,2
"blue",497.52175,367.33975,317,2
"blue",497.19205,367.33975,318,2
"blue",496.66045,367.33975,319,2
"blue",496.1741,367.33975,320,2
"blue",496.0533,367.33555,321,2
"blue",495.8309,367.33555,322,2
"blue",495.58315,367.2959,323,2
"blue",495.2714,367.22565,324,2
"blue",494.9393,367.188,325,2
"blue",494.77655,367.16825,326,2
"blue",494.6726,367.13075,327,2
"blue",494.5892,367.1026,328,2
"blue",494.5161,367.0969,329,2
"blue",494.0394,367.0926,330,2
"blue",493.0286,367.07565,331,2
"blue",491.62495,367.05695,332,2
"blue",489.7956,367.02145,333,2
"blue",488.3346,366.97705,334,2
"blue",487.07975,366.97025,335,2
"blue",485.8189,366.97025,336,2
"blue",485.1903,366.97025,337,2
"blue",484.9773,366.97025,338,2
"blue",484.8997,366.97025,339,2
"blue",484.8589,366.97025,340,2
"blue",484.81965,366.99535,341,2
"blue",484.8082,367.02545,342,2
"blue",484.77425,367.02545,343,2
"blue",484.7225,367.05155,344,2
"blue",484.70315,367.05695,345,2
"blue",484.7014,367.07565,346,2
"blue",484.69615,367.07565,347,2
"blue",484.6776,367.07565,348,2
"blue",484.55745,367.07565,349,2
"blue",484.3999,367.07565,350,2
"blue",484.13905,367.07565,351,2
"blue",483.91465,367.07565,352,2
"blue",483.88295,367.07565,353,2
"blue",483.79635,367.0926,354,2
"blue",483.70715,367.0969,355,2
"blue",483.44335,367.1026,356,2
"blue",483.15925,367.13075,357,2
"blue",483.03085,367.20985,358,2
"blue",482.85965,367.28845,359,2
"blue",482.6704,367.32415,360,2
"blue",482.5232,367.3404,361,2
"blue",482.44485,367.3685,362,2
"blue",482.2284,367.395,363,2
"blue",482.00295,367.395,364,2
"blue",481.88675,367.395,365,2
"blue",481.6753,367.395,366,2
"blue",481.51645,367.395,367,2
"blue",481.51645,367.395,368,2
"blue",481.51645,367.4267,369,2
"blue",481.51645,367.48425,370,2
"blue",481.51645,367.55045,371,2
"blue",481.51645,367.73115,372,2
"blue",481.51645,367.8847,373,2
"blue",481.51645,367.8847,374,2
"blue",481.51645,367.8847,375,2
"blue",481.51645,367.99765,376,2
"blue",481.51645,368.3669,377,2
"blue",481.51645,369.17705,378,2
"blue",481.2603,370.1074,379,2
"blue",480.8329,370.57025,380,2
"blue",480.19545,370.7248,381,2
"blue",479.189,371.56405,382,2
"blue",478.33885,372.65525,383,2
"blue",477.73425,373.0082,384,2
"blue",477.15615,373.2275,385,2
"blue",476.2196,373.9945,386,2
"blue",474.99775,375.1937,387,2
"blue",473.803,375.9228,388,2
"blue",472.31005,376.0376,389,2
"blue",470.91755,376.09285,390,2
"blue",469.92595,376.2356,391,2
"blue",469.45555,376.36895,392,2
"blue",468.85615,376.40605,393,2
"blue",467.8127,376.43655,394,2
"blue",466.99825,376.47775,395,2
